client,date,p10,p25,p50,p75,p90,timestamp
desktop,2020_10_01,470.47,1022.61,2062.38,3997.32,7396.58,2020-10-01
mobile,2020_10_01,386.41,899.87,1891.61,3671.66,6703.27,2020-10-01
desktop,2020_09_01,480.78,1047.71,2105.28,4047.33,7464.74,2020-09-01
mobile,2020_09_01,393.37,922.46,1930.73,3720.21,6770.64,2020-09-01
desktop,2020_08_01,472.28,1036.04,2098.75,4037.51,7442.28,2020-08-01
mobile,2020_08_01,372.48,902.87,1917.46,3713.01,6775.25,2020-08-01
desktop,2020_07_01,459.42,1013.74,2059.02,3964.64,7309.17,2020-07-01
mobile,2020_07_01,380.1,905.97,1916.77,3715.74,6779.24,2020-07-01
desktop,2020_06_01,440.51,980.89,2000.01,3865.03,7131.67,2020-06-01
mobile,2020_06_01,347.93,863.66,1852.05,3611.03,6607.45,2020-06-01
desktop,2020_05_01,435.83,979.44,2007.91,3888.6,7155.1,2020-05-01
mobile,2020_05_01,350.74,870.06,1851.94,3590.08,6489.66,2020-05-01
desktop,2020_04_01,446.05,996.51,2031.92,3913.43,7192.03,2020-04-01
mobile,2020_04_01,358.29,882.15,1864.24,3605.36,6510.46,2020-04-01
desktop,2020_03_01,489.37,1044.02,2080.22,3987.17,7310.58,2020-03-01
mobile,2020_03_01,380.38,907.79,1885.28,3624.73,6548.63,2020-03-01
desktop,2020_02_01,431.54,951.65,1957.9,3818.62,7067.02,2020-02-01
mobile,2020_02_01,346.53,842.04,1791.82,3493.17,6362.13,2020-02-01
desktop,2020_01_01,398.88,941.5,1969.56,3841.98,7128.42,2020-01-01
mobile,2020_01_01,309.46,816.49,1770.42,3462.91,6322.11,2020-01-01
desktop,2019_12_01,402.67,946.75,1980.91,3854.27,7117.01,2019-12-01
mobile,2019_12_01,312.91,824.89,1790.94,3489.9,6351.46,2019-12-01
desktop,2019_11_01,403.57,942.04,1965.67,3820.45,7046.68,2019-11-01
mobile,2019_11_01,315.03,823.37,1779.04,3479.54,6330.69,2019-11-01
desktop,2019_10_01,401.08,932.83,1950.3,3806.43,6998.62,2019-10-01
mobile,2019_10_01,313.29,807.03,1751.9,3441.13,6273.35,2019-10-01
desktop,2019_09_01,400.26,928.59,1939.7,3782.88,6966.21,2019-09-01
mobile,2019_09_01,315.52,801.68,1745.1,3436.82,6254.1,2019-09-01
desktop,2019_08_01,402.8,932.34,1946.82,3789.84,6961.86,2019-08-01
mobile,2019_08_01,317.93,803.75,1749.29,3439.05,6250.09,2019-08-01
desktop,2019_07_01,400.99,926.89,1936.77,3776.79,6947.92,2019-07-01
mobile,2019_07_01,321.78,802.38,1747.33,3433.38,6230.37,2019-07-01
desktop,2019_06_01,391.12,910.09,1905.34,3721.85,6848.59,2019-06-01
mobile,2019_06_01,304.61,774.11,1696.05,3326.47,6046.83,2019-06-01
desktop,2019_05_01,391.64,907.2,1896.79,3703.12,6806.21,2019-05-01
mobile,2019_05_01,305.95,769.3,1683.55,3302.51,5996.56,2019-05-01
mobile,2019_04_01,302.7,762.45,1682.28,3302.39,5985.82,2019-04-01
desktop,2019_03_01,355.35,856.75,1828.18,3575.58,6531.79,2019-03-01
mobile,2019_03_01,301.01,750.2,1669.01,3277.3,5920.23,2019-03-01
desktop,2019_02_01,367.19,877.08,1861.86,3617.57,6612.15,2019-02-01
mobile,2019_02_01,311.1,759.0,1672.13,3266.14,5909.55,2019-02-01
desktop,2019_01_01,353.68,857.02,1836.84,3588.5,6650.5,2019-01-01
mobile,2019_01_01,303.95,751.26,1669.26,3277.43,5972.83,2019-01-01
desktop,2018_12_15,356.81,860.63,1847.98,3652.83,7008.68,2018-12-15
mobile,2018_12_15,211.76,564.77,1285.48,2649.96,5076.09,2018-12-15
desktop,2018_12_01,281.61,706.68,1584.85,3155.48,5928.77,2018-12-01
mobile,2018_12_01,211.2,564.04,1288.32,2629.37,5036.19,2018-12-01
desktop,2018_11_15,283.33,722.93,1627.43,3267.04,6095.34,2018-11-15
mobile,2018_11_15,212.22,569.52,1303.74,2706.59,5165.37,2018-11-15
desktop,2018_11_01,281.81,713.63,1588.0,3145.85,5921.4,2018-11-01
mobile,2018_11_01,211.5,567.5,1299.86,2656.93,5101.44,2018-11-01
desktop,2018_10_15,280.69,701.05,1533.46,3045.16,5840.66,2018-10-15
mobile,2018_10_15,209.53,557.78,1269.26,2609.87,5026.12,2018-10-15
desktop,2018_10_01,280.18,702.65,1540.83,3075.03,5979.42,2018-10-01
mobile,2018_10_01,210.44,558.71,1273.32,2633.75,5126.38,2018-10-01
desktop,2018_09_15,276.26,705.59,1544.63,3089.99,5975.79,2018-09-15
mobile,2018_09_15,209.74,558.17,1270.27,2631.99,5101.12,2018-09-15
desktop,2018_09_01,274.16,694.47,1525.63,3029.05,5902.88,2018-09-01
mobile,2018_09_01,208.58,549.14,1257.39,2587.48,5049.5,2018-09-01
desktop,2018_08_15,278.63,692.92,1517.71,3038.91,5954.46,2018-08-15
mobile,2018_08_15,207.99,548.72,1271.94,2608.15,5107.72,2018-08-15
desktop,2018_08_01,278.02,692.31,1511.23,2999.63,5842.77,2018-08-01
mobile,2018_08_01,207.36,548.1,1253.88,2571.3,5028.37,2018-08-01
desktop,2018_07_15,281.06,691.84,1512.5,2999.25,5840.69,2018-07-15
mobile,2018_07_15,208.01,552.45,1248.23,2567.38,5027.41,2018-07-15
desktop,2018_07_01,279.96,689.41,1502.5,2981.77,5843.54,2018-07-01
mobile,2018_07_01,247.13,691.99,1568.18,3129.47,5851.44,2018-07-01
desktop,2018_06_15,285.5,768.89,1709.4,3353.03,6397.05,2018-06-15
mobile,2018_06_15,248.24,686.94,1565.76,3126.28,5846.36,2018-06-15
desktop,2018_06_01,292.8,772.65,1702.27,3329.42,6344.09,2018-06-01
mobile,2018_06_01,256.51,693.77,1569.27,3147.11,5975.68,2018-06-01
desktop,2018_05_15,290.28,789.0,1719.92,3329.4,6304.74,2018-05-15
mobile,2018_05_15,248.53,696.34,1561.54,3094.8,5782.88,2018-05-15
desktop,2018_05_01,294.38,797.86,1736.6,3347.2,6299.17,2018-05-01
mobile,2018_05_01,251.22,696.44,1553.87,3078.09,5768.72,2018-05-01
desktop,2018_04_15,296.31,799.17,1731.05,3343.01,6296.43,2018-04-15
mobile,2018_04_15,254.36,700.54,1560.4,3075.57,5753.74,2018-04-15
desktop,2018_03_15,298.69,797.72,1712.9,3309.38,6226.13,2018-03-15
mobile,2018_03_15,250.26,692.39,1545.54,3045.52,5683.79,2018-03-15
desktop,2018_03_01,303.1,795.4,1698.44,3272.23,6177.33,2018-03-01
mobile,2018_03_01,249.57,688.9,1532.33,3027.63,5635.25,2018-03-01
desktop,2018_02_15,304.41,795.98,1698.96,3277.47,6187.4,2018-02-15
mobile,2018_02_15,252.11,684.89,1524.08,3016.6,5622.89,2018-02-15
desktop,2018_02_01,323.25,845.09,1786.04,3389.35,6314.31,2018-02-01
mobile,2018_02_01,264.11,711.14,1574.98,3080.07,5679.28,2018-02-01
desktop,2018_01_15,323.53,840.68,1776.16,3362.77,6242.28,2018-01-15
mobile,2018_01_15,265.66,712.55,1574.18,3069.21,5670.99,2018-01-15
desktop,2018_01_01,323.79,835.32,1772.32,3380.42,6284.47,2018-01-01
mobile,2018_01_01,267.72,707.65,1569.25,3074.36,5671.49,2018-01-01
desktop,2017_12_15,324.82,842.43,1794.79,3440.88,6423.91,2017-12-15
mobile,2017_12_15,268.92,716.06,1587.9,3120.64,5763.39,2017-12-15
desktop,2017_12_01,307.89,789.52,1695.34,3293.15,6217.5,2017-12-01
mobile,2017_12_01,259.04,684.94,1523.77,3032.16,5655.33,2017-12-01
desktop,2017_11_15,309.63,789.29,1681.71,3263.44,6193.08,2017-11-15
mobile,2017_11_15,258.17,684.33,1514.61,3011.36,5622.2,2017-11-15
desktop,2017_11_01,312.13,788.83,1676.18,3255.72,6163.93,2017-11-01
mobile,2017_11_01,257.87,681.11,1508.37,2994.19,5559.11,2017-11-01
desktop,2017_10_15,308.05,776.43,1654.73,3219.36,6127.05,2017-10-15
mobile,2017_10_15,257.78,677.8,1496.25,2972.24,5540.5,2017-10-15
desktop,2017_10_01,311.6,785.94,1665.71,3227.81,6142.08,2017-10-01
mobile,2017_10_01,259.58,678.12,1495.64,2962.48,5507.55,2017-10-01
desktop,2017_09_15,310.8,782.4,1661.73,3224.99,6134.88,2017-09-15
